Word,cgram,freqfilms2,islem,puorth
baies,ADJ,0.26,0,0
baies,NOM,1.24,0,0
baile,NOM,0.05,1,5
bains,NOM,23.96,0,0
baisa,VER,0,0,0
baise,NOM,7.07,1,5
baise,VER,22.02,0,5
baise,VER,17.65,0,0
balai,NOM,8.24,1,5
balan,NOM,0,1,5
bales,NOM,0.14,0,0
balle,NOM,77.32,1,5
balsa,NOM,0.13,1,5
balte,ADJ,0.05,1,5
balte,NOM,0,1,5
balto,ADV,0,1,5
banal,ADJ,4.88,1,5
banco,ADJ,0.2,1,5
banco,NOM,0.03,1,5
banco,ONO,0.42,1,5
bancs,NOM,1.81,0,0
banda,VER,0.01,0,0
bande,NOM,69.1,1,5
bande,VER,4.73,0,5
bande,VER,0.6,0,5
bande,ADJ,0.05,1,5
bangs,NOM,0.34,0,0
banjo,NOM,3.08,1,4
banne,VER,0.4,0,5
banni,ADJ,0.27,1,5
banni,NOM,0.31,1,5
banni,VER,2.48,0,5
bantu,NOM,0.01,1,5
barba,VER,0.14,0,0
barbe,NOM,23.4,1,5
barbe,VER,0.32,0,5
barbu,ADJ,1.27,1,5
barbu,NOM,1.37,1,5
barbe,VER,0.04,0,0
barca,ADV,0.16,1,5
barda,NOM,1.46,1,5
barde,NOM,0.18,1,5
barde,VER,0.3,0,5
bardo,NOM,0.11,1,5
barde,VER,0.07,0,0
baret,NOM,0,1,4
barge,ADJ,1.6,1,5
barge,NOM,0.72,1,5
baril,NOM,1.81,1,5
barje,ADJ,0,1,5
barjo,ADJ,0.95,1,5
barjo,NOM,0.72,1,5
baron,NOM,16.07,1,5
barra,VER,0.13,0,0
barre,NOM,15.59,1,5
barre,VER,7.99,0,5
barri,VER,0.01,0,0
barre,VER,4.04,0,5
barre,ADJ,2.42,1,5
barye,NOM,0.01,1,5
basal,ADJ,0.15,1,5
baser,VER,0.44,1,5
bases,NOM,7.53,0,0
bases,VER,0.16,0,0
basez,VER,0.35,0,0
basic,NOM,0.03,1,5
basin,NOM,0,1,5
bassa,NOM,0,1,5
basse,ADJ,9.54,0,5
basse,NOM,2.36,1,5
basta,ONO,2.15,1,5
basta,VER,0.09,0,5
baste,NOM,1.21,1,5
baste,ONO,0.42,1,5
basee,VER,3.6,0,0
basee,ADJ,0.09,0,0
bases,VER,1.15,0,0
bases,ADJ,0.03,0,0
batak,NOM,0.05,1,5
batik,NOM,0,1,5
batte,NOM,6.39,1,5
batte,VER,2.32,0,5
battu,VER,24.13,0,5
battu,ADJ,2.81,1,5
battu,NOM,0.4,1,5
batee,NOM,0.01,1,4
bauge,NOM,0.14,1,5
bauge,VER,0,0,0
baume,NOM,1.79,1,5
baver,VER,3.04,1,5
baves,NOM,0.02,0,0
baves,VER,0.97,0,0
bavez,VER,0.08,0,0
bayer,VER,0.01,1,4
bayou,NOM,0.76,1,4
bazar,NOM,8.18,1,5
beauf,NOM,0.96,1,5
beaux,ADJ,57.2,0,0
becta,VER,0,0,0
becte,VER,0.14,0,0
becte,VER,0,0,0
bedon,NOM,0.04,1,5
beige,ADJ,1.02,1,5
beige,NOM,0.24,1,5
belge,ADJ,2.83,1,5
belge,NOM,1.31,1,5
belle,ADJ,284.08,0,0
belle,NOM,35.08,0,0
belon,NOM,0,1,5
benne,NOM,2.12,1,4
benet,ADJ,0.12,1,4
benet,NOM,1.2,1,4
berce,NOM,0.01,1,5
berce,VER,0.94,0,5
berce,VER,0.85,0,0
berge,NOM,1.79,1,5
berle,NOM,0.13,1,5
berme,NOM,0.03,1,5
berne,NOM,0.11,1,5
berne,VER,0.12,0,5
berne,VER,0.53,0,0
berça,VER,0.01,0,0
besef,ADV,0,1,4
bette,NOM,1.55,1,5
beurk,ONO,4.01,1,5
bezef,ADV,0,1,3
biais,ADJ,0.04,1,5
biais,NOM,1.6,1,5
bibis,NOM,0.02,0,0
bible,NOM,17.03,1,5
biche,NOM,5.29,1,5
biche,VER,0.2,0,5
biche,VER,0,0,0
bicot,NOM,0.11,1,5
bides,NOM,0.07,0,0
bidet,NOM,0.69,1,5
bidon,ADJ,7.78,1,5
bidon,NOM,5.37,1,5
biefs,NOM,0,0,0
biens,NOM,16.99,0,0
biffa,VER,0,0,0
biffe,NOM,0.33,1,5
biffe,VER,0.01,0,5
biffe,VER,0.02,0,0
bigle,ADJ,0,1,5
bigle,VER,0,0,5
bigle,VER,0,0,0
bigne,NOM,0,1,5
bigot,ADJ,0.17,1,5
bigot,NOM,0.1,1,5
bigre,NOM,0,1,5
bigre,ONO,0.47,1,5
bigue,NOM,0,1,5
bijou,NOM,8.37,1,5
bilan,NOM,5.63,1,5
biler,VER,0.1,1,5
biles,NOM,0.19,0,0
biles,VER,0.29,0,0
bilez,VER,0.22,0,0
bille,NOM,2.5,1,5
bills,NOM,0.09,0,0
bin's,NOM,0.03,1,4
biner,VER,0.33,1,5
bingo,NOM,9.08,1,5
biper,VER,0.96,1,4
bipes,VER,0.09,0,0
bipez,VER,0.43,0,0
bipee,VER,0.4,0,0
bipes,VER,0.05,0,0
bique,NOM,0.56,1,5
birbe,NOM,0,1,4
biser,VER,0.14,1,5
bises,ADJ,0.37,0,0
bises,NOM,1.14,0,0
bises,VER,0.01,0,0
bison,NOM,1.49,1,5
bisou,NOM,13.99,1,5
bisse,VER,0.01,0,0
bisse,VER,0.01,0,0
bites,NOM,3.49,0,0
bitos,NOM,0,1,5
bitte,NOM,0.69,1,5
bizou,NOM,0,1,4
bizut,NOM,2.05,1,5
biere,NOM,68.55,1,3
black,ADJ,2.45,1,5
black,NOM,1.94,1,5
blair,NOM,0.05,1,5
blanc,ADJ,53.93,1,5
blanc,NOM,27.56,1,5
blase,NOM,0.12,1,5
blase,VER,0,0,5
blase,VER,0.19,0,5
blase,ADJ,0.66,1,5
blaze,NOM,0.48,1,5
bleds,NOM,0.12,0,0
blets,ADJ,0.01,0,0
bleue,ADJ,21.63,0,0
bleui,ADJ,0,1,5
bleui,VER,0.01,0,5
bleus,ADJ,12.97,0,0
bleus,NOM,6.2,0,0
blini,NOM,0.02,1,5
block,NOM,0.7,1,5
blocs,NOM,3.03,0,0
blond,ADJ,8.73,1,5
blond,NOM,3.61,1,5
bloom,NOM,0.01,1,5
blots,NOM,0,0,0
bloum,NOM,0,1,5
blues,NOM,7.81,1,5
bluff,NOM,3,1,5
blush,NOM,0.2,1,4
blama,VER,0.01,0,0
blame,NOM,1.85,1,5
blame,VER,2.91,0,5
blame,VER,0.21,0,0
bleme,ADJ,1.16,1,5
blemi,VER,0.01,0,0
bobby,NOM,0.32,1,5
bobos,NOM,0.53,0,0
bocal,NOM,2.73,1,5
boche,ADJ,0.78,1,5
boche,NOM,2.24,1,5
bocks,NOM,0.01,0,0
bodhi,NOM,2.21,1,5
boers,NOM,0,0,0
boeuf,ADJ,0.44,1,4
boeuf,NOM,8.58,1,4
bogie,NOM,0.14,1,4
bogue,NOM,0.12,1,5
bogue,VER,0.14,0,5
boira,VER,2.97,0,0
boire,NOM,2.67,1,4
boire,VER,142.15,1,4
boise,VER,0.01,0,0
boise,VER,0.03,0,5
boise,ADJ,0.15,1,5
boite,VER,11.83,0,0
boite,VER,0.13,0,0
boive,VER,2.86,0,0
bolas,NOM,0.14,0,0
boldo,NOM,0,1,5
bolet,NOM,0,1,4
bolge,NOM,0,1,4
bolee,NOM,0.01,1,5
